measure,name,short_description,description,label,group_id,investment_cost,investment_cost_year,investment_annual_maintenance,life_span,investment_units_per_cow,investment_units_per_farm,reference_farm_size,labor_hours_per_cow_installation,labor_hours_per_cow_annual,consumable_type_01,consumable_type_01_per_cow,consumable_type_01_cost_per_unit,source,comment
calving_separation,Calving separation,New building,New building. Assume 2 pens per 100 cow years - one pen = 30900 kr (2015 prices),investment_capacity,,30900,2015,,20,0.02,,,,,,,,LBST,Danish legislation: Room for 4 close-up cows per 100 cows - 2 of these have to be single calving pens
calving_separation,Calving separation,Renovating (deep litter),Renovating: Floor type deep litter. Assume 2 pens per 100 cow years - one pen = 17004 kr (2015 prices),investment_capacity,,17004,2015,,20,0.02,,,,,,,,LBST,Danish legislation: Room for 4 close-up cows per 100 cows - 2 of these have to be single calving pens
calving_separation,Calving separation,Renovating (hardware),Renovating: Hardware in existing area. Assume 2 pens per 100 cow years - one pen = 11784 kr (2015 prices),investment_capacity,,11784,2015,,15,0.02,,,,,,,,LBST,Danish legislation: Room for 4 close-up cows per 100 cows - 2 of these have to be single calving pens
dedicated_calf_housing,Dedicated calf housing,New building,"New building. Assuming 1.1 calving per cow year, separate calf housing 0-7 days (=0.02 calf year), pairwise from 7-56 days (= 0.13 calf year). Price per youngstock in hut/single pen (0-3 month) and group housing 3-6 month = 13285 kr (2015 prices)",investment_capacity,,13285,2015,,10,0.0935,,,,,,,,LBST,Danish legislation: Single calf housing only day 1 to 7. After that at least pairwise until 8 weeks. After 8 weeks no isolation.
dedicated_calf_housing,Dedicated calf housing,Renovating (deep litter),"Renovating: Floor type deep litter. Assuming 1.1 calving per cow year, separate calf housing 0-7 days (=0.02 calf year), pairwise from 7-56 days (= 0.13 calf year). Price per youngstock in hut/single pen (0-3 month) and group housing 3-6 month = 7307 kr (2015 prices)",investment_capacity,,7307,2015,,15,0.0935,,,,,,,,LBST,Danish legislation: Single calf housing only day 1 to 7. After that at least pairwise until 8 weeks. After 8 weeks no isolation.
dedicated_calf_housing,Dedicated calf housing,Renovating (hardware),"Renovating: Hardware in existing area. Assuming 1.1 calving per cow year, separate calf housing 0-7 days (=0.02 calf year), pairwise from 7-56 days (= 0.13 calf year). Price per youngstock in hut/single pen (0-3 month) and group housing 3-6 month = 3383 kr (2015 prices)",investment_capacity,,3383,2015,,10,0.0935,,,,,,,,LBST,Danish legislation: Single calf housing only day 1 to 7. After that at least pairwise until 8 weeks. After 8 weeks no isolation.
springing_cows_hygiene,Hygiene (springing cows),Extra litterings (deep litter),Deep litter: Two extra litterings per week (100 min/250 cows + 4.5 kg straw/cow). Assuming 11% of cows being dry cows and an 8-week  (= 56/365 cow year) dry period ,mixed_variable_labor,,,,,,,,,,0.0117,straw,7.92,0.75,Assumed,
springing_cows_hygiene,Hygiene (springing cows),Extra litterings (cubicles),Cubicle: Two extra litterings per week (60 min/250 cows + 1 kg. Straw/cow.  Assuming 10% of cows being dry cows and an 8-week (= 56/365 cow year) dry period,mixed_variable_labor,,,,,,,,,,0.0064,straw,1.6,0.75,Assumed,
calving_pen_hygiene,Hygiene (calving pen),Extra cleaning and litter,3-6 month calves: Extra 5 minutes per 15 calves for daily routine of cleaning and littering + 1 kg extra straw per calf per day. Period 3-6 months = 0.25 calf year. 1.1 calf per cow year. Baseline time consumption = 1 min/calf/day. Baseline straw use = 2 kg/calf/day. Price = 0.75 kr/kg,mixed_variable_labor,hygiene_cp,,,,,,,,,0.56,straw,100.375,0.75,Assumed,
calving_pen_hygiene,Hygiene (calving pen),Extra cleaning and litter,Calves > 6 months: Extra 7 minutes per 15 calves for daily routine of cleaning and littering  + 3 kg extra straw per calf per day. Period 6-24 months = 0.75 calf year. 1.1 calf per cow year. Baseline time consumption = 2 min/calf/day. Baseline straw use = 6-8 kg/calf/day. Price = 0.75 kr/kg,mixed_variable_labor,hygiene_cp,,,,,,,,,2.34,straw,903.375,0.75,Assumed,
